policy,WEEK_END_DATE,STORE_NUM,UPC,seg,state,price_rec,discount_rec,price_mult,promo_feature,promo_display,promo_tpr_only,is_promo,units_pred,revenue_pred,score_penalised
revenue_only,2011-12-28,25021,1111085350,VALUE,OH,2.0145,0.15000000000000005,0.85,1,1,0,1,77.5665904303949,156.2578964220305,120.00789642203051
revenue_only,2011-08-17,2495,88491201426,MAINSTREAM,TX,2.9665,0.15000000000000008,0.85,1,1,0,1,32.62684018910467,96.787521420979,60.537521420979004
revenue_only,2011-10-05,2541,3700019521,MAINSTREAM,TX,2.941,0.15000000000000005,0.85,1,1,0,1,3.7464042590182203,11.018174925772586,-25.231825074227416
revenue_only,2011-11-02,17615,7192100337,MAINSTREAM,TX,4.4795,0.14999999999999997,0.85,1,1,0,1,24.61236042842445,110.25106853912732,74.00106853912732
revenue_only,2011-11-30,28909,7110410455,MAINSTREAM,OH,1.7,0.15000000000000002,0.85,1,1,0,1,17.489710782760604,29.732508330693026,-6.5174916693069775
revenue_only,2011-06-29,21227,31254742835,UPSCALE,OH,4.1055,0.15,0.85,1,1,0,1,14.279673890751328,58.62520115847958,22.375201158479577
revenue_only,2011-12-07,27175,4116709565,UPSCALE,TX,4.7405,0.05000000000000005,0.95,1,1,0,1,4.34942659894878,20.61845679231669,-8.131543207683315
revenue_only,2011-09-28,26983,31254742735,VALUE,OH,4.2415,0.15,0.85,1,1,0,1,11.87465087126076,50.36633167045252,14.116331670452517
revenue_only,2011-07-06,13853,3700044982,MAINSTREAM,TX,3.9600000000000004,0.09999999999999998,0.9,1,1,0,1,4.536990664486504,17.966483031366558,-14.53351696863344
revenue_only,2011-09-28,13853,1111087396,MAINSTREAM,TX,2.93,0.0,1.0,1,1,0,1,15.56223159712462,45.597338579575144,20.597338579575144
revenue_only,2011-06-08,21227,2840002333,UPSCALE,OH,2.6910000000000003,0.09999999999999996,0.9,1,1,0,1,36.06887825790741,97.06135139202884,64.56135139202884
revenue_only,2011-11-02,12011,1111009477,MAINSTREAM,TX,1.278,0.09999999999999994,0.9,1,1,0,1,45.668203023955094,58.36396346461461,25.86396346461462
revenue_only,2011-11-09,6431,88491201427,VALUE,TX,2.4819999999999998,0.15000000000000005,0.85,1,1,0,1,76.87172070341823,190.79561078588404,154.54561078588404
revenue_only,2011-06-08,23075,3700044982,MAINSTREAM,OH,4.6665,0.15000000000000002,0.85,1,1,0,1,5.411842799612689,25.254364424392612,-10.99563557560739
revenue_only,2011-11-23,21479,88491201426,VALUE,TX,2.628,0.09999999999999994,0.9,1,1,0,1,56.98878935824504,149.76653843346799,117.26653843346799
revenue_only,2011-07-13,387,7027316204,UPSCALE,OH,2.097,0.10000000000000003,0.9,1,1,0,1,19.062269245379785,39.97357860756141,7.473578607561407
revenue_only,2011-10-26,21237,1111035398,MAINSTREAM,OH,2.95,0.0,1.0,1,1,0,1,9.285421712298513,27.391994051280616,2.3919940512806157
revenue_only,2011-11-23,21485,3700031613,MAINSTREAM,TX,3.6465,0.15,0.85,1,1,0,1,3.6133513784145634,13.176085801388705,-23.073914198611295
